num,query_name,cand_name,AMT_avg_score
2896,S023C002P061R002A096,S027C001P081R001A098,1.4
2897,S030C001P092R001A097,S027C002P084R002A097,3.3
2898,S032C003P106R001A102,S029C001P051R001A102,3.125
2899,S026C001P072R002A102,S032C001P106R001A102,3.3
2900,S002C003P014R001A023,S002C001P014R001A023,4
2901,S030C002P096R002A099,S008C001P030R002A027,1.2
2902,S007C001P001R002A048,S005C001P016R002A048,3.2
2903,S008C003P036R001A035,S008C001P033R002A048,2
2904,S028C001P087R001A098,S030C001P095R001A098,3.6
2905,S007C001P017R001A035,S030C002P095R002A080,1.454545455
2906,S020C001P053R001A104,S027C003P083R001A104,2.8
2907,S023C003P066R001A097,S016C003P025R001A048,1.1
2908,S002C003P012R001A026,S002C001P014R002A027,1.2
2909,S029C002P075R002A101,S008C001P032R002A048,1.8
2910,S001C002P001R002A022,S007C002P027R002A023,1
2911,S013C002P018R002A048,S010C003P016R001A039,1.2
2912,S026C001P008R001A080,S013C002P007R002A035,1.444444444
2913,S011C002P038R002A026,S006C001P022R002A026,3.3
2914,S011C003P016R001A007,S027C001P084R002A095,1.2
2915,S031C001P100R001A102,S027C003P084R001A101,1
2916,S032C002P106R002A100,S030C001P092R001A099,2
2917,S030C002P095R002A104,S031C001P006R001A104,3.6
2918,S005C003P010R001A039,S016C003P040R001A048,1
2919,S017C002P009R002A035,S016C003P040R001A035,3.4
2920,S030C002P096R002A099,S016C001P040R002A026,1.9
2921,S002C001P014R001A009,S013C001P015R001A048,1.3
2922,S002C003P007R001A022,S027C001P086R001A104,1.25
2923,S002C003P014R001A023,S011C003P002R001A022,1.1
2924,S006C003P024R001A027,S017C002P020R002A026,2.7
2925,S008C003P031R001A009,S014C001P039R001A009,3.8
2926,S007C002P026R002A008,S008C001P031R001A008,3.9
2927,S003C003P019R001A022,S023C002P068R002A104,2.2
2928,S014C003P039R001A007,S007C003P016R001A023,1.9
2929,S030C001P044R002A102,S019C001P046R002A102,3
2930,S008C002P031R002A039,S027C001P080R002A096,1.272727273
2931,S010C003P013R001A007,S008C002P036R002A022,1.3
2932,S008C003P029R001A023,S014C002P039R002A023,3.9
2933,S003C001P002R001A027,S030C003P011R001A100,1.1
2934,S001C002P003R002A027,S009C003P017R001A027,3.7
2935,S005C001P004R002A048,S016C001P039R001A035,1.2
2936,S008C001P029R002A008,S001C001P006R001A008,3.7
2937,S001C003P006R001A022,S017C003P017R001A022,3.1
2938,S031C003P100R001A101,S026C001P071R001A101,3.4
2939,S008C003P035R001A008,S030C002P043R002A080,2.1
2940,S021C002P058R002A099,S010C002P013R002A026,1.2
2941,S008C003P035R001A022,S017C001P009R002A022,2.454545455
2942,S027C003P083R001A095,S027C001P079R001A095,3.7
2943,S029C002P080R002A080,S005C003P018R001A008,1.444444444
2944,S011C001P028R001A023,S008C001P032R001A022,1.5
2945,S008C002P035R002A009,S013C002P018R002A009,3.888888889
2946,S023C002P059R002A102,S008C001P001R001A026,1.2
2947,S014C001P039R002A008,S002C003P009R001A048,1.636363636
2948,S027C001P086R002A101,S002C002P010R002A048,1
2949,S030C001P011R002A104,S031C002P096R002A104,2.1
2950,S012C001P016R002A040,S002C002P012R002A039,1.2
2951,S006C002P023R002A035,S006C003P001R001A008,1.272727273
2952,S008C002P035R002A007,S002C002P007R002A023,1.6
2953,S025C003P058R001A100,S015C002P016R002A027,1.181818182
2954,S002C003P014R001A040,S010C003P013R001A007,1.090909091
2955,S032C003P106R001A101,S002C002P012R002A035,1.1
2956,S010C002P017R002A048,S031C002P051R002A101,1.4
2957,S019C002P049R002A098,S021C003P060R001A098,3.2
2958,S028C002P073R002A101,S002C002P014R002A048,1
2959,S019C001P050R002A099,S007C001P028R001A026,2
2960,S008C001P030R001A039,S001C001P006R001A040,1.3
2961,S031C002P006R002A080,S004C003P003R001A035,1
2962,S024C003P064R001A099,S031C002P097R002A099,3.3
2963,S019C002P050R002A104,S019C001P046R001A095,1.5
2964,S008C001P007R001A039,S002C001P014R001A039,3.7
2965,S030C001P044R002A102,S026C002P050R002A101,1.111111111
2966,S026C001P071R002A097,S030C001P092R001A097,3.666666667
2967,S008C001P029R002A027,S001C002P006R002A027,3.625
2968,S028C001P043R002A101,S025C003P058R001A101,3.5
2969,S021C001P055R001A096,S032C001P102R002A096,3.636363636
2970,S008C002P030R002A007,S030C001P095R001A095,1.2
2971,S030C001P096R002A099,S028C001P046R001A099,3.727272727
2972,S028C001P073R001A098,S019C001P051R001A096,1.3
2973,S032C002P105R002A102,S028C003P087R001A095,1
2974,S023C003P061R001A080,S008C002P029R002A048,1
2975,S008C002P030R002A007,S001C002P006R002A023,1.4
2976,S001C001P002R002A009,S011C003P038R001A009,3.888888889
2977,S031C001P097R002A099,S002C001P014R002A026,1.8
2978,S006C003P022R001A039,S008C003P034R001A040,1.5
2979,S002C001P014R002A008,S023C003P061R001A080,2.333333333
2980,S019C001P050R002A095,S032C001P106R002A104,2.3
2981,S006C001P023R001A023,S001C002P001R002A022,1.2
2982,S031C003P100R001A097,S021C003P060R001A098,1.6
2983,S007C001P017R001A035,S027C001P084R001A080,1.181818182
2984,S006C001P023R002A022,S002C002P003R002A022,3.111111111
2985,S030C001P092R001A096,S026C001P072R002A096,3.888888889
2986,S016C003P025R001A048,S031C001P097R001A101,1
2987,S027C001P085R002A102,S027C003P081R001A095,1
2988,S006C002P008R002A026,S013C001P019R002A009,1.090909091
2989,S008C003P032R001A027,S007C001P015R002A027,3.7
2990,S021C002P058R002A097,S027C001P011R002A097,3.8
2991,S001C001P002R002A009,S001C001P003R002A027,1
2992,S006C001P017R001A026,S007C003P028R001A026,3.3
2993,S009C003P007R001A026,S030C003P092R001A099,1.6
2994,S026C002P071R002A097,S023C002P061R002A104,2.777777778
2995,S023C002P068R002A101,S002C001P010R002A048,1.1
2996,S005C001P010R002A022,S008C002P030R002A022,2.4
2997,S008C001P029R001A040,S006C003P023R001A040,3.8
2998,S008C003P033R001A022,S014C003P017R001A023,1.3
2999,S008C003P033R001A022,S006C003P023R001A048,1
3000,S012C001P027R002A008,S002C003P012R001A008,3.9
3001,S003C003P018R001A027,S025C002P066R002A100,1.3
3002,S030C003P095R001A100,S030C001P011R001A100,3.7
3003,S029C003P051R001A102,S023C001P068R001A102,3.5
3004,S006C003P023R001A039,S019C003P051R001A096,1.2
3005,S024C002P061R002A098,S023C001P066R001A098,4
3006,S031C002P051R002A099,S029C001P088R002A099,3.9
3007,S008C002P030R002A048,S002C001P012R001A048,2
3008,S014C001P008R001A035,S001C002P005R002A035,3.5
3009,S002C001P014R001A009,S002C002P012R002A009,3.454545455
3010,S023C002P066R002A096,S017C003P015R001A039,1.4
3011,S028C002P046R002A080,S025C002P058R002A080,3.875
3012,S028C003P073R001A098,S021C001P058R002A097,1.8
3013,S029C001P080R001A095,S028C001P087R002A104,2.363636364
3014,S030C001P095R001A102,S031C002P085R002A095,1
3015,S023C003P059R001A101,S016C002P039R002A022,1
3016,S016C001P040R001A009,S013C001P027R001A048,1
3017,S030C002P096R002A099,S008C001P033R002A026,1.9
3018,S006C001P023R001A007,S014C001P007R001A007,2.555555556
3019,S026C001P071R002A097,S028C001P087R001A097,3.444444444
3020,S011C001P038R001A027,S006C001P024R001A026,1.454545455
3021,S032C002P106R002A104,S030C001P095R001A095,2.1
3022,S021C001P059R002A100,S024C002P060R002A100,2.9
3023,S005C001P004R002A048,S016C002P039R002A048,1.7
3024,S027C003P083R001A095,S028C001P087R002A104,2.1
3025,S011C001P028R001A023,S023C001P068R002A104,1
3026,S020C003P052R001A104,S008C002P033R002A040,1.5
3027,S002C002P011R002A026,S032C001P106R001A099,1.272727273
3028,S032C001P102R002A096,S002C002P011R002A022,1.2
3029,S016C002P025R002A026,S029C001P080R001A099,1.4
3030,S032C002P106R002A098,S015C001P025R002A040,1.444444444
3031,S002C003P013R001A039,S001C001P005R001A040,1.6
3032,S005C002P004R002A008,S001C002P005R002A035,1.2
3033,S006C002P022R002A022,S014C001P017R001A023,1.1
3034,S016C003P021R001A035,S002C003P011R001A008,1.8
3035,S010C002P008R002A040,S005C001P018R001A007,1.1
3036,S008C002P033R002A026,S008C001P034R001A027,1.1
3037,S029C002P080R002A100,S024C001P061R001A099,1.5
3038,S008C002P035R002A035,S016C003P039R001A035,3.6
3039,S001C003P002R001A008,S007C003P028R001A008,3.555555556
3040,S019C002P050R002A095,S002C001P012R002A040,1.3
3041,S005C001P010R002A009,S006C003P022R001A009,3.7
3042,S002C002P012R002A040,S006C001P023R001A040,3.9
3043,S019C001P049R002A098,S032C001P105R001A098,3.1
3044,S003C001P002R001A027,S002C002P011R002A027,2.7
3045,S006C001P022R001A035,S008C003P036R001A048,2.444444444
3046,S009C001P019R002A035,S008C001P025R001A008,1.090909091
3047,S020C001P052R002A097,S030C001P095R002A097,3.8
3048,S032C002P102R002A101,S009C002P019R002A035,1
3049,S027C003P006R001A100,S030C003P095R001A100,3.7
3050,S031C002P097R002A100,S001C002P006R002A027,1.555555556
3051,S008C001P034R001A008,S016C001P040R001A008,4
3052,S021C002P055R002A080,S012C002P027R002A008,1.454545455
3053,S028C002P043R002A101,S020C001P052R002A101,4
3054,S030C002P011R002A104,S032C003P044R001A097,1.636363636
3055,S005C002P010R002A008,S013C003P008R001A008,2.818181818
3056,S002C003P013R001A022,S005C001P018R001A007,1.454545455
3057,S004C003P003R001A048,S012C001P028R001A039,1.111111111
3058,S027C001P043R002A102,S027C003P079R001A095,1.1
3059,S008C002P032R002A007,S002C001P012R001A023,1.1
3060,S029C001P049R001A100,S001C002P005R002A026,1.555555556
3061,S027C002P011R002A096,S022C001P064R002A098,1.1
3062,S027C001P079R001A102,S023C001P059R002A102,3.9
3063,S001C001P005R001A009,S011C003P038R001A040,1
3064,S023C002P061R002A104,S021C002P058R002A095,2.7
3065,S008C003P029R001A023,S002C001P011R002A023,3.5
3066,S002C002P012R002A035,S020C002P052R002A080,1.1
3067,S002C002P012R002A040,S001C002P005R002A039,1.1
3068,S002C002P011R002A040,S014C001P007R001A007,1
3069,S027C001P011R002A097,S019C002P049R002A104,1.6
3070,S029C003P080R001A095,S021C002P056R002A104,3.8
3071,S006C002P023R002A022,S001C002P005R002A022,1.7
3072,S008C001P034R001A009,S016C001P039R002A026,1.1
3073,S002C001P012R001A023,S023C002P061R002A104,1.125
3074,S008C001P032R002A007,S001C001P004R001A007,3
3075,S023C002P056R002A098,S032C001P043R002A097,1.6
3076,S003C001P002R001A027,S002C001P011R002A027,2.8
3077,S006C001P023R002A022,S008C001P030R002A022,2.7
3078,S008C001P032R002A008,S010C002P017R002A048,1.5
3079,S029C001P080R001A095,S021C002P055R002A095,3.454545455
3080,S002C002P012R002A007,S002C001P007R002A023,1.6
3081,S008C001P029R001A022,S026C003P008R001A104,1.7
3082,S004C003P003R001A035,S016C003P039R001A035,3
3083,S027C001P079R002A080,S027C003P084R001A080,3.454545455
3084,S008C002P033R002A008,S002C001P014R001A035,1.2
3085,S020C001P053R001A099,S024C003P061R001A099,3.8
3086,S008C002P033R002A008,S005C001P010R001A026,1
3087,S032C003P008R001A102,S027C003P084R001A101,1.3
3088,S006C002P022R002A027,S013C003P027R001A026,1.6
3089,S030C003P095R001A096,S008C003P007R001A039,2.2
3090,S020C003P052R001A104,S026C003P076R001A095,2.454545455
3091,S026C003P051R001A095,S021C003P056R001A095,3.666666667
3092,S021C001P060R002A080,S030C003P076R001A080,3.9
3093,S028C003P073R001A100,S014C002P037R002A026,1.375
3094,S008C002P030R002A023,S007C001P016R001A023,3.5
3095,S014C001P019R002A007,S008C002P032R002A007,3
3096,S027C001P084R001A080,S027C003P083R001A080,3.888888889
3097,S005C002P016R002A048,S008C001P035R002A035,2.5
3098,S032C003P106R001A102,S026C001P072R002A101,1.125
3099,S027C001P084R002A100,S020C001P052R001A100,3.363636364
3100,S016C002P040R002A007,S002C001P011R002A023,1.2
3101,S019C001P049R002A099,S008C001P015R001A026,1.25
3102,S017C002P003R002A026,S008C001P030R001A009,1.333333333
3103,S006C003P024R001A008,S003C002P002R002A035,1.2
3104,S008C001P034R002A026,S002C002P009R002A026,3.272727273
3105,S026C002P072R002A099,S030C001P096R002A099,3.4
3106,S018C003P008R001A095,S031C001P096R001A095,3.4
3107,S032C003P106R001A096,S019C003P051R001A096,3.7
3108,S013C001P018R002A048,S008C002P029R002A048,3.5
3109,S030C003P096R001A096,S012C001P028R002A022,1.5
3110,S012C001P037R001A035,S021C001P060R002A080,1.5
3111,S002C003P013R001A039,S002C003P014R001A039,3.5
3112,S031C002P097R002A099,S003C003P001R001A027,1.2
3113,S026C001P050R002A101,S002C002P014R002A048,1.090909091
3114,S003C003P002R001A027,S002C001P014R002A027,3.7
3115,S015C003P015R001A040,S031C003P100R001A096,1.3
3116,S008C001P029R001A022,S008C003P029R001A022,4
3117,S030C001P043R002A080,S007C002P026R002A008,2.1
3118,S030C003P095R001A100,S018C002P044R002A100,3.7
3119,S017C002P003R002A007,S011C002P018R002A022,1
3120,S023C002P066R002A096,S032C002P102R002A096,2.6
3121,S030C003P076R001A101,S032C003P106R001A101,3.333333333
3122,S023C002P061R002A096,S006C002P023R002A022,1.1
3123,S024C001P061R001A100,S016C002P039R002A026,1.444444444
3124,S027C001P082R002A080,S030C001P076R001A080,3.818181818
3125,S008C003P031R001A009,S008C001P036R002A009,3.9
3126,S001C002P006R002A023,S008C002P001R002A007,1.181818182
3127,S020C001P054R001A098,S026C003P071R001A098,3.363636364
3128,S008C002P029R002A007,S011C001P002R002A007,1
3129,S003C001P019R001A022,S016C002P008R002A022,3.727272727
3130,S013C001P027R001A035,S013C003P027R001A035,4
3131,S011C001P028R001A023,S008C003P036R001A023,3.090909091
3132,S002C002P012R002A040,S008C003P030R001A039,1.9
3133,S031C002P051R002A101,S027C002P086R002A101,3.555555556
3134,S021C001P058R002A095,S010C002P025R002A022,2.3
3135,S007C003P017R001A035,S002C001P014R002A008,1.1
3136,S009C003P025R001A023,S016C001P040R002A007,1.4
3137,S007C002P027R002A023,S007C003P016R001A023,3.1
3138,S006C001P024R002A035,S002C001P013R002A035,3.9
3139,S027C001P011R002A080,S028C003P087R001A080,2.8
3140,S005C001P010R002A022,S006C001P022R001A023,1.1
3141,S001C002P006R002A023,S017C002P009R002A022,1.181818182
3142,S026C002P075R002A104,S028C003P073R001A095,2.818181818
3143,S014C001P008R001A035,S008C002P032R002A048,3.454545455
3144,S004C002P020R002A022,S008C001P033R002A023,1.1
3145,S023C001P066R001A102,S030C002P011R002A102,2.6
3146,S016C001P008R002A022,S008C001P030R002A007,1.181818182
3147,S008C003P029R001A035,S028C001P087R001A080,1.5
3148,S022C003P061R001A101,S002C002P011R002A048,1
3149,S026C001P072R002A097,S016C001P039R002A022,1.444444444
3150,S001C002P005R002A027,S017C002P003R002A026,1.7
3151,S005C002P010R002A009,S002C002P009R002A009,3.9
3152,S001C001P004R002A040,S009C003P017R001A040,3.7
3153,S002C001P011R002A026,S008C001P034R001A009,1.2
3154,S006C003P024R001A007,S023C003P068R001A095,1.3
3155,S006C001P023R001A007,S011C002P002R002A023,1.4
3156,S032C002P102R002A101,S013C001P037R001A048,1.1
3157,S027C002P011R002A097,S031C002P051R002A098,1.8
3158,S030C001P096R002A099,S027C001P079R002A099,3.5
3159,S026C003P071R001A101,S014C001P008R001A035,1.333333333
3160,S008C003P030R001A026,S006C001P008R002A026,2.6
3161,S030C002P096R002A099,S005C001P004R001A026,1.3
3162,S027C001P081R002A097,S008C001P036R001A048,1.111111111
3163,S013C001P019R001A048,S001C001P001R001A039,1.9
3164,S019C003P050R001A096,S001C002P001R002A022,1.1
3165,S012C003P008R001A009,S014C001P039R001A009,3.6
3166,S008C001P029R002A008,S002C001P014R002A008,3.875
3167,S012C002P019R002A027,S003C002P002R002A026,1.818181818
3168,S002C002P011R002A027,S008C003P034R001A027,3.375
3169,S027C001P011R002A080,S007C002P026R002A008,1.8
3170,S002C003P014R001A023,S016C001P021R002A023,2.818181818
3171,S002C003P011R001A039,S017C003P015R001A039,3.1
3172,S032C001P102R002A102,S026C002P071R002A102,3
3173,S008C001P035R002A026,S020C001P053R001A099,1.9
3174,S011C001P015R002A022,S002C002P011R002A007,1.1
3175,S008C001P025R002A035,S027C003P086R001A080,1.4
3176,S023C001P066R001A097,S021C001P056R002A104,1.6
3177,S008C003P036R001A040,S027C002P011R002A096,1.4
3178,S014C001P027R001A039,S026C002P049R002A096,1.727272727
3179,S006C003P022R001A009,S008C001P034R001A009,3.3
3180,S002C001P013R001A022,S002C003P013R001A022,4
3181,S008C002P030R002A048,S001C003P004R001A039,1.555555556
3182,S007C002P028R002A009,S002C002P014R002A026,1.125
3183,S006C003P023R001A026,S002C003P012R001A026,3.5
3184,S002C001P014R002A026,S001C001P005R002A027,1.636363636
3185,S006C001P022R001A039,S010C001P021R001A048,1
3186,S006C003P023R001A040,S010C001P008R001A039,1.5
3187,S021C001P060R001A101,S006C002P023R002A035,1.5
3188,S029C001P088R001A097,S006C001P024R001A022,1.2
3189,S023C002P061R002A095,S027C002P084R002A095,3
3190,S013C003P008R001A008,S006C001P022R001A035,1.090909091
3191,S008C001P036R002A009,S007C002P028R002A009,3.909090909
3192,S030C001P095R002A080,S014C001P019R002A008,1.8
3193,S027C003P086R001A104,S032C002P106R002A104,2.5
3194,S003C001P018R001A027,S029C001P088R002A099,1.4
3195,S003C001P019R001A022,S008C001P035R001A022,3.363636364
3196,S011C001P015R002A022,S004C002P020R002A022,2.9
3197,S030C001P096R001A097,S014C002P027R002A022,1.363636364
3198,S010C001P013R002A026,S014C002P037R002A026,3.2
3199,S032C002P105R002A099,S030C001P081R002A099,3.4
3200,S027C003P083R001A100,S025C001P058R001A100,3.5
3201,S023C001P064R002A101,S030C001P096R002A101,3.909090909
3202,S002C001P007R001A008,S006C001P023R002A008,3.4
3203,S013C001P019R002A039,S008C003P036R001A048,1.1
3204,S002C001P014R002A008,S026C002P050R002A080,2.111111111
3205,S023C002P059R002A102,S027C002P081R002A101,1.2
3206,S002C001P009R001A040,S001C001P006R001A040,3.8
3207,S009C001P019R001A040,S030C001P076R001A096,1.5
3208,S028C003P087R001A098,S008C002P031R002A040,1.545454545
3209,S012C003P037R001A035,S019C002P049R002A080,1.333333333
3210,S030C001P044R002A102,S032C001P102R002A102,2.9
3211,S026C002P076R002A098,S008C001P032R002A040,1.2
3212,S025C003P068R001A097,S028C001P073R001A097,3.6
3213,S021C002P056R002A104,S031C002P096R002A104,2.2
3214,S001C003P006R001A039,S006C001P022R001A039,3.8
3215,S005C001P010R002A009,S002C001P014R001A009,3.666666667
3216,S032C001P105R002A104,S026C003P008R001A104,2.090909091
3217,S030C001P011R001A100,S029C001P080R002A100,3.6
3218,S008C003P025R001A008,S017C003P009R001A008,3.818181818
3219,S029C003P088R001A097,S027C002P079R002A104,1.7
3220,S031C003P097R001A104,S012C002P016R002A040,1
3221,S027C002P084R002A102,S030C001P011R002A102,3.363636364
3222,S027C001P084R001A101,S023C001P066R001A101,3.6
3223,S026C001P050R001A102,S030C001P095R001A101,1
3224,S006C001P024R002A035,S007C003P017R001A035,3
3225,S007C001P016R001A023,S029C001P044R002A104,1.222222222
3226,S001C002P004R002A035,S006C003P001R001A008,1.5
3227,S013C001P037R002A040,S016C002P021R002A039,1.444444444
3228,S027C001P086R002A101,S002C001P011R002A048,1
3229,S007C003P015R001A008,S005C003P010R001A035,1.8
3230,S028C003P073R001A095,S011C003P002R001A022,2.1
3231,S009C002P019R002A035,S013C001P007R002A035,3.2
3232,S030C002P092R002A098,S026C002P072R002A097,1.25
3233,S012C002P028R002A022,S008C003P035R001A022,3.666666667
3234,S023C001P055R002A101,S025C001P056R001A101,2.909090909
3235,S008C001P031R001A008,S008C001P029R002A008,3.6
3236,S027C001P083R001A099,S024C001P061R001A100,1.777777778
3237,S002C003P013R001A023,S002C001P010R001A007,1.727272727
3238,S018C001P043R001A099,S018C001P043R001A104,1.090909091
3239,S011C002P038R002A008,S008C001P032R002A008,3.7
3240,S032C001P104R002A097,S027C001P079R001A097,3.888888889
3241,S031C001P097R002A095,S018C001P008R001A095,3.5
3242,S028C003P046R001A099,S032C001P102R002A100,1.7
3243,S027C001P081R002A097,S020C001P054R001A098,1.818181818
3244,S028C001P046R001A100,S008C001P033R002A026,1.4
3245,S028C003P087R001A096,S032C003P106R001A096,3.6
3246,S008C003P035R001A008,S001C001P002R001A008,3.5
3247,S030C001P096R002A099,S002C002P011R002A026,1.636363636
3248,S027C001P086R002A097,S032C003P105R001A098,1.5
3249,S026C003P072R001A080,S001C001P006R002A048,1.1
3250,S008C001P035R001A040,S008C001P034R001A040,3.9
3251,S007C002P026R002A008,S023C003P061R001A080,1.5
3252,S010C002P021R002A022,S008C003P032R001A023,1.2
3253,S031C001P097R001A104,S023C003P068R001A095,2.555555556
3254,S014C003P039R001A040,S008C001P035R001A040,3.5
3255,S028C001P046R001A104,S029C001P088R001A097,1.2
3256,S028C001P073R001A095,S008C002P036R002A022,1.9
3257,S023C003P059R001A101,S027C001P081R002A101,3.6
3258,S008C002P033R002A008,S007C001P028R001A008,3.888888889
3259,S014C001P007R001A007,S027C003P079R001A095,1.1
3260,S027C001P083R001A098,S027C001P081R002A096,1
3261,S010C003P016R001A039,S002C001P011R001A039,3.9
3262,S021C003P056R001A095,S002C002P003R002A022,2.090909091
3263,S014C002P027R002A022,S011C003P038R001A022,2.8
3264,S006C003P023R001A039,S029C002P006R002A096,1.25
3265,S022C003P061R001A101,S011C001P038R002A008,1.222222222
3266,S006C002P022R002A008,S008C001P034R001A048,1.2
3267,S002C002P014R002A027,S032C001P106R001A099,1.2
3268,S027C002P080R002A096,S027C003P079R001A096,4
3269,S001C003P004R001A039,S008C001P029R002A039,3.727272727
3270,S019C001P049R002A104,S015C002P025R002A040,1.1
3271,S012C002P027R002A009,S002C001P009R002A009,3.3
3272,S002C003P012R001A008,S002C003P011R001A008,3.666666667
3273,S007C001P028R001A008,S023C002P068R002A080,1.4
3274,S026C002P072R002A104,S025C002P066R002A104,3.8
3275,S017C001P009R002A007,S030C001P095R001A095,1.25
3276,S006C002P001R002A040,S016C003P040R001A040,3.4
3277,S026C001P072R002A102,S030C002P044R002A102,3
3278,S008C002P033R002A040,S025C001P056R001A096,2.181818182
3279,S030C001P081R002A104,S018C003P043R001A104,1.125
3280,S012C002P027R002A009,S017C003P020R001A009,3.3
3281,S027C003P006R001A100,S008C003P032R001A026,1.7
3282,S016C002P008R002A022,S002C002P012R002A022,2.4
3283,S023C002P061R002A097,S011C003P038R001A022,2
3284,S001C002P005R002A027,S008C003P033R001A027,3.3
3285,S030C001P096R002A099,S030C001P081R001A100,2.3
3286,S024C002P061R002A098,S025C001P056R001A096,1.4
3287,S006C002P022R002A008,S005C001P013R002A008,3.9
3288,S027C002P086R002A097,S011C001P038R001A022,1.4
3289,S005C001P018R001A007,S008C001P034R002A022,1.272727273
3290,S016C001P021R002A039,S016C003P040R001A039,3.5
3291,S008C001P007R001A039,S010C002P013R002A048,1.2
3292,S029C001P049R001A100,S030C001P096R002A100,3.555555556
3293,S003C001P002R001A027,S031C001P097R002A099,1.2
3294,S007C001P016R001A023,S002C003P010R001A007,1.555555556
3295,S022C001P061R001A101,S031C003P100R001A101,3.3
3296,S031C003P100R001A101,S005C002P013R002A008,1
3297,S008C001P030R001A008,S031C002P006R002A080,2.363636364
3298,S007C002P018R002A026,S002C001P014R002A027,1.5
3299,S030C001P096R002A102,S031C001P100R001A102,3.6
3300,S001C001P004R001A007,S006C002P022R002A022,1
3301,S006C001P024R001A048,S023C003P059R001A101,1.3
3302,S027C003P086R001A080,S008C001P035R001A008,1.8
3303,S002C003P012R001A008,S008C001P034R001A048,1.555555556
3304,S008C001P034R002A022,S002C002P011R002A022,3.2
3305,S002C002P014R002A007,S001C003P006R001A007,2.2
3306,S010C002P017R002A048,S026C002P050R002A101,1.2
3307,S021C001P056R001A095,S026C002P049R002A095,3.1
3308,S026C003P051R001A095,S032C003P106R001A095,3.454545455
3309,S026C001P071R001A098,S019C001P046R001A098,3.7
3310,S028C001P087R001A098,S029C003P080R001A097,1.6
3311,S026C001P071R001A100,S027C003P083R001A100,3.6
3312,S030C003P095R001A098,S029C001P044R001A096,1.125
3313,S008C001P030R002A048,S002C001P011R001A039,1.1
3314,S001C001P003R002A040,S002C001P010R002A040,3.9
3315,S027C002P043R002A102,S021C001P060R001A101,1
3316,S002C003P014R001A023,S002C001P014R001A022,1.7
3317,S007C001P028R001A026,S014C001P037R001A009,1
3318,S018C003P043R001A099,S007C002P028R002A027,1.3
3319,S008C001P029R002A007,S023C002P061R002A095,1.2
3320,S020C001P052R001A096,S032C002P102R002A096,3.555555556
3321,S021C001P056R002A097,S026C003P050R001A097,2
3322,S020C001P052R002A102,S026C001P072R001A095,1
3323,S023C003P060R001A099,S029C003P006R001A099,3.6
3324,S005C001P010R001A039,S015C002P025R002A040,1.7
3325,S021C002P059R002A100,S007C003P016R001A026,1.9
3326,S008C002P033R002A007,S029C003P044R001A095,1
3327,S026C001P072R002A100,S021C001P059R002A100,3.777777778
3328,S031C001P096R002A098,S011C001P002R002A040,1.555555556
3329,S003C001P018R001A027,S001C002P005R002A026,1.5
3330,S027C001P084R002A102,S020C001P052R002A101,1
3331,S002C001P013R002A035,S001C001P006R002A048,2.666666667
3332,S006C002P022R002A008,S002C003P012R001A008,3.9
3333,S006C001P024R001A048,S003C003P002R001A039,1.3
3334,S031C002P097R002A099,S008C001P034R001A027,1.5
3335,S001C001P006R001A040,S012C001P037R002A039,1.5
3336,S007C002P026R002A008,S005C002P010R002A008,3.5
3337,S002C001P012R002A022,S006C001P024R001A022,3.4
3338,S030C003P095R001A098,S024C001P061R002A098,3.8
3339,S010C003P021R001A048,S030C001P076R001A101,1.1
3340,S027C003P079R001A098,S029C003P051R001A097,1.8
3341,S027C001P086R002A101,S001C001P002R001A008,1
3342,S008C001P036R001A048,S016C002P039R002A048,2.818181818
3343,S008C001P015R002A007,S002C003P014R001A023,1.4
3344,S027C003P084R001A080,S030C001P088R001A080,3.1
3345,S006C001P024R001A008,S028C003P087R001A080,2.3
3346,S031C001P051R002A098,S008C003P035R001A040,1.2
3347,S008C002P029R002A026,S008C002P031R002A026,4
3348,S008C001P029R002A008,S001C002P004R002A035,1.625
3349,S023C001P066R001A097,S027C002P011R002A097,3.5
3350,S027C003P083R001A099,S018C001P044R002A100,2.1
3351,S007C001P017R001A035,S002C001P014R002A048,3.181818182
3352,S011C001P002R002A040,S001C003P006R001A007,1.1
3353,S030C001P076R001A096,S032C001P102R002A098,1.2
3354,S031C001P051R002A098,S008C001P029R001A040,1.8
3355,S006C001P022R002A008,S017C001P009R001A008,3.3
3356,S002C002P011R002A027,S030C003P011R001A100,1.125
3357,S002C001P014R001A035,S013C001P007R002A035,3.7
3358,S006C001P022R001A035,S008C001P032R002A035,3.111111111
3359,S023C001P055R002A097,S020C003P054R001A098,1.7
3360,S026C001P071R001A104,S031C001P099R001A104,3.272727273
3361,S027C001P086R001A104,S023C001P061R002A104,1.727272727
3362,S021C001P058R002A099,S031C001P051R002A099,3.7
3363,S021C001P058R002A099,S019C001P049R002A099,3.7
3364,S008C001P033R002A040,S008C001P029R002A007,1.2
3365,S030C001P095R001A102,S024C002P060R002A095,1.2
3366,S026C001P008R001A080,S026C003P008R001A080,4
3367,S012C003P008R001A009,S007C001P025R002A009,3.9
3368,S019C002P049R002A080,S004C003P003R001A035,1.090909091
3369,S011C003P038R001A027,S021C003P056R001A100,1.111111111
3370,S032C001P105R001A096,S007C003P018R001A039,1.555555556
3371,S023C003P061R001A080,S030C003P044R001A080,3.222222222
3372,S025C003P059R001A104,S010C002P008R002A040,1.3
3373,S031C003P100R001A097,S026C002P071R002A097,1.909090909
